|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
|||||||| This file lists Admin Phrases. It's read by a program that uses binomial search, so the phrase  ||||||||||
|||||||| codes *must* be kept in (strict binary) alphabetical order. This header must also be kept here. ||||||||||
|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
_ACCESS_KEY_EQUALS|Access Key = [[key]]
_ADD|Add
_ADDRESS_PREF:|Address Preference:
_ALL_EXTRANET_USERS|All Extranet Users
_ALL_GROUPS|All Groups
_ALT_EMAIL:|Alternative Email:
_ANOTHER_VERSION_OF_PLUGIN_IS_INSTALLED|Another version of this Module is installed or running
_APR|April
_AUG|August
_BIRTH_DATE:|Date of Birth:
_BUS_ADDRESS1:|Business Address 1:
_BUS_ADDRESS2:|Business Address 2:
_BUS_ADDRESS3:|Business Address 3:
_BUS_COUNTRY:|Business country:
_BUS_PHONE:|Business phone:
_BUS_POSTCODE:|Business postcode:
_BUS_STATE:|Business state:
_BUS_TOWN:|Business town:
_BYTES|[[size]] Bytes
_CANCEL|Cancel
_CHANGE_PASSWORD_FOR|Change the password for [[name]].
_COMPANY_NAME:|Company name:
_CONTENT_ITEM_NOT_FOUND|Content Item Not Found
_CREATED_DATE:|Date Created:
_DEC|December
_DETAILS|Details
_DIRECTORY_DOES_NOT_EXIST|The directory [[dirpath]] does not exist. You should create this directory, or ask your system administrator to do so.
_DIRECTORY_NOT_READ_AND_WRITEABLE|The directory [[dirpath]] does not have read and write permissions set
_EDIT|Edit
_EMAIL:|Email Address:
_ERROR_ADMIN_LOGIN_MULTISITE_CONNECTION|You cannot use your multi-site account because this site has lost its connection to the global database. Please check that the correct settings have been entered in the zenario_siteconfig.php file.
_ERROR_ADMIN_LOGIN_MULTISITE_PASSWORD_CHANGE_NEEDED|Your multi-site account has been flagged for a password change. Please log into the control site to change it.
_ERROR_ADMIN_LOGIN_MULTISITE_PERMISSIONS|Your multi-site account only has permissions on specific areas, and cannot be used to accesss this site.
_ERROR_ADMIN_LOGIN_PASSWORD|Your administrator username and password were not recognised. Please check and try again.
_ERROR_ADMIN_LOGIN_PASSWORD_RESET|This account requires a password reset before it can log in.
_ERROR_ADMIN_LOGIN_USERNAME|Your administrator username and password were not recognised. Please check you're using the username of your administrator account (not an email address, or login details for an extranet user account).
_ERROR_EMAIL_INVALID|Please enter a valid email address.
_ERROR_EMAIL_NAME_IN_USE|This email address is already in use by another user.
_ERROR_EMAIL_TEMPLATE_MISSING|Sorry, you cannot send an email as the [[template]] Email Template is missing.
_ERROR_INSTANCE_NAME|Please enter a Name for this Instance of your Module
_ERROR_MUST_ENTER_TITLE_FOR_MENU_ITEM|Please ensure you enter a title for this Menu Node.
_ERROR_SCREEN_NAME_IN_USE|This screen name is already in use.
_ERROR_SCREEN_NAME_INCOMPLETE|Please enter a screen name.
_ERROR_SCREEN_NAME_INVALID|The screen name can contain only alphanumeric characters.
_FAX:|Fax Number:
_FEB|February
_FILE_UPLOAD_ERROR_EMPTY|Please select a file.
_FILE_UPLOAD_ERROR_SIZE|Your file must be less than [[size]] bytes.
_FIRST_NAME:|First Name:
