"Language ID","Module"
bg,zenario_common_features

"Phrase Code",Translation
_MONTH_LONG_01,"януари"
_MONTH_LONG_02,"февруари"
_MONTH_LONG_03,"март"
_MONTH_LONG_04,"април"
_MONTH_LONG_05,"май"
_MONTH_LONG_06,"юни"
_MONTH_LONG_07,"юли"
_MONTH_LONG_08,"август"
_MONTH_LONG_09,"септември"
_MONTH_LONG_10,"октомври"
_MONTH_LONG_11,"ноември"
_MONTH_LONG_12,"декември"
_MONTH_SHORT_01,"януари"
_MONTH_SHORT_02,"февруари"
_MONTH_SHORT_03,"март"
_MONTH_SHORT_04,"април"
_MONTH_SHORT_05,"май"
_MONTH_SHORT_06,"юни"
_MONTH_SHORT_07,"юли"
_MONTH_SHORT_08,"август"
_MONTH_SHORT_09,"септември"
_MONTH_SHORT_10,"октомври"
_MONTH_SHORT_11,"ноември"
_MONTH_SHORT_12,"декември"
_WEEKDAY_0,"неделя"
_WEEKDAY_1,"понеделник"
_WEEKDAY_2,"вторник"
_WEEKDAY_3,"сряда"
_WEEKDAY_4,"четвъртък"
_WEEKDAY_5,"петък"
_WEEKDAY_6,"събота"
_WEEKDAY_SHORT_0,"нед"
_WEEKDAY_SHORT_1,"пон"
_WEEKDAY_SHORT_2,"вт"
_WEEKDAY_SHORT_3,"ср"
_WEEKDAY_SHORT_4,"чет"
_WEEKDAY_SHORT_5,"пет"
_WEEKDAY_SHORT_6,"съб"
_FILE_SIZE_UNIT_GB,"GB"
_FILE_SIZE_UNIT_MB,"MB"
_FILE_SIZE_UNIT_KB,"KB"
_FILE_SIZE_UNIT_BYTE,"byte"
_FILE_SIZE_UNIT_BYTES,"bytes"
