"Language ID","Module"
cy,zenario_common_features

"Phrase Code",Translation
_MONTH_LONG_01,"Ionawr"
_MONTH_LONG_02,"Chwefror"
_MONTH_LONG_03,"Mawrth"
_MONTH_LONG_04,"Ebrill"
_MONTH_LONG_05,"Mai"
_MONTH_LONG_06,"Mehefin"
_MONTH_LONG_07,"Gorffennaf"
_MONTH_LONG_08,"Awst"
_MONTH_LONG_09,"Medi"
_MONTH_LONG_10,"Hydref"
_MONTH_LONG_11,"Tachwedd"
_MONTH_LONG_12,"Rhagfyr"
_MONTH_SHORT_01,"Ion"
_MONTH_SHORT_02,"Chwe"
_MONTH_SHORT_03,"Maw"
_MONTH_SHORT_04,"Ebr"
_MONTH_SHORT_05,"Mai"
_MONTH_SHORT_06,"Meh"
_MONTH_SHORT_07,"Gor"
_MONTH_SHORT_08,"Aws"
_MONTH_SHORT_09,"Med"
_MONTH_SHORT_10,"Hyd"
_MONTH_SHORT_11,"Tach"
_MONTH_SHORT_12,"Rhag"
_WEEKDAY_0,"Dydd Sul"
_WEEKDAY_1,"Dydd Llun"
_WEEKDAY_2,"Dydd Mawrth"
_WEEKDAY_3,"Dydd Mercher"
_WEEKDAY_4,"Dydd Iau"
_WEEKDAY_5,"Dydd Gwener"
_WEEKDAY_6,"Dydd Sadwrn"
_WEEKDAY_SHORT_0,"sul"
_WEEKDAY_SHORT_1,"llun"
_WEEKDAY_SHORT_2,"maw"
_WEEKDAY_SHORT_3,"mer"
_WEEKDAY_SHORT_4,"Iau"
_WEEKDAY_SHORT_5,"gwe"
_WEEKDAY_SHORT_6,"sad"
_FILE_SIZE_UNIT_GB,"GB"
_FILE_SIZE_UNIT_MB,"MB"
_FILE_SIZE_UNIT_KB,"KB"
_FILE_SIZE_UNIT_BYTE,"byte"
_FILE_SIZE_UNIT_BYTES,"bytes"
_CANCEL,"Canslo"
_COPIED,"Copïwyd"
_COPIED_TO_CLIPBOARD,"Copïwyd i'r clipfwrdd"
_COPY_TO_CLIPBOARD,"Copïo i'r clipfwrdd"
_NEXT,"Nesaf"
_PREV,"Blaenorol"
_FILENAME,"Enw ffeil:"
_LANGUAGE,"Iaith:"
_PUBLISHED,"Cyhoeddwyd:"
_CHOOSE_YOUR_LANGUAGE,"Dewiswch eich iaith:"
_ERROR_SCREEN_NAME_USES_INVALID_CHARACTERS,"Gall enw sgrin gynnwys llythrennau bach a-z, llythrennau mawr A-Z, rhifau 0-9, cysylltnodau, tanlinellau a dotiau yn unig."
_ERROR_SCREEN_NAME_IN_USE,"Mae'r enw sgrin hwn eisoes yn cael ei ddefnyddio."
_ERROR_SCREEN_NAME_TOO_LONG,"Ni all enw sgrin fod yn fwy na 50 nod o hyd."
_ERROR_SALUTATION_TOO_LONG,"Ni all cyfarchiad fod yn fwy na 25 nod o hyd."
_ERROR_FIRST_NAME_TOO_LONG,"Ni all enw cyntaf fod yn fwy na 100 nod o hyd."
_ERROR_LAST_NAME_TOO_LONG,"Ni all cyfenw fod yn fwy na 100 nod o hyd."
_ERROR_EMAIL_ADDRESS_INVALID,"Nid yw'r cyfeiriad e-bost yn ddilys."
_ERROR_EMAIL_ADDRESS_IN_USE,"Mae'r cyfeiriad e-bost hwn eisoes yn cael ei ddefnyddio."
