"Language ID","Module"
el,zenario_common_features

"Phrase Code",Translation
_MONTH_LONG_01,"Ιανουάριος"
_MONTH_LONG_02,"Φεβρουάριος"
_MONTH_LONG_03,"Μάρτιος"
_MONTH_LONG_04,"Απρίλιος"
_MONTH_LONG_05,"Μάιος"
_MONTH_LONG_06,"Ιούνιος"
_MONTH_LONG_07,"Ιούλιος"
_MONTH_LONG_08,"Αύγουστος"
_MONTH_LONG_09,"Σεπτέμβριος"
_MONTH_LONG_10,"Οκτώβριος"
_MONTH_LONG_11,"Νοέμβριος"
_MONTH_LONG_12,"Δεκέμβριος"
_MONTH_SHORT_01,"Ιανουάριος"
_MONTH_SHORT_02,"Φεβρουάριος"
_MONTH_SHORT_03,"Μάρτιος"
_MONTH_SHORT_04,"Απρίλιος"
_MONTH_SHORT_05,"Μάιος"
_MONTH_SHORT_06,"Ιούνιος"
_MONTH_SHORT_07,"Ιούλιος"
_MONTH_SHORT_08,"Αύγουστος"
_MONTH_SHORT_09,"Σεπτέμβριος"
_MONTH_SHORT_10,"Οκτώβριος"
_MONTH_SHORT_11,"Νοέμβριος"
_MONTH_SHORT_12,"Δεκέμβριος"
_WEEKDAY_0,"Κυριακή"
_WEEKDAY_1,"Δευτέρα"
_WEEKDAY_2,"Τρίτη"
_WEEKDAY_3,"Τετάρτη"
_WEEKDAY_4,"Πέμπτη"
_WEEKDAY_5,"Παρασκευή"
_WEEKDAY_6,"Σάββατο"
_WEEKDAY_SHORT_0,"Κυρ"
_WEEKDAY_SHORT_1,"Δευ"
_WEEKDAY_SHORT_2,"Τρί"
_WEEKDAY_SHORT_3,"Τετ"
_WEEKDAY_SHORT_4,"Πέμ"
_WEEKDAY_SHORT_5,"Παρ"
_WEEKDAY_SHORT_6,"Σάβ"
_FILE_SIZE_UNIT_GB,"GB"
_FILE_SIZE_UNIT_MB,"MB"
_FILE_SIZE_UNIT_KB,"KB"
_FILE_SIZE_UNIT_BYTE,"byte"
_FILE_SIZE_UNIT_BYTES,"bytes"
_CANCEL,"Ματαίωση"
_COPIED,"Αντιγράφηκε"
_COPIED_TO_CLIPBOARD,"Αντιγράφηκε στο πρόχειρο"
_COPY_TO_CLIPBOARD,"Αντιγραφή στο πρόχειρο"
_NEXT,"Επόμενος"
_PREV,"Προηγ"
_FILENAME,"Όνομα αρχείου:"
_LANGUAGE,"Γλώσσα:"
_PUBLISHED,"Δημοσιεύθηκε:"
_CHOOSE_YOUR_LANGUAGE,"Επιλέξτε τη γλώσσα σας:"
_ERROR_SCREEN_NAME_USES_INVALID_CHARACTERS,"Το όνομα οθόνης μπορεί να περιέχει μόνο πεζά γράμματα a-z, κεφαλαία γράμματα A-Z, αριθμούς 0-9, παύλες, κάτω παύλες και τελείες."
_ERROR_SCREEN_NAME_IN_USE,"Αυτό το όνομα οθόνης χρησιμοποιείται ήδη."
_ERROR_SCREEN_NAME_TOO_LONG,"Το όνομα οθόνης δεν μπορεί να έχει περισσότερους από 50 χαρακτήρες."
_ERROR_SALUTATION_TOO_LONG,"Ο χαιρετισμός δεν μπορεί να έχει περισσότερους από 25 χαρακτήρες."
_ERROR_FIRST_NAME_TOO_LONG,"Το όνομα δεν μπορεί να έχει περισσότερους από 100 χαρακτήρες."
_ERROR_LAST_NAME_TOO_LONG,"Το επώνυμο δεν μπορεί να έχει περισσότερους από 100 χαρακτήρες."
_ERROR_EMAIL_ADDRESS_INVALID,"Η διεύθυνση ηλεκτρονικού ταχυδρομείου δεν είναι έγκυρη."
_ERROR_EMAIL_ADDRESS_IN_USE,"Αυτή η διεύθυνση ηλεκτρονικού ταχυδρομείου χρησιμοποιείται ήδη."
