"Language ID","Module"
es,zenario_common_features

"Phrase Code",Translation
_MONTH_LONG_01,"Enero"
_MONTH_LONG_02,"Febrero"
_MONTH_LONG_03,"Marzo"
_MONTH_LONG_04,"Abril"
_MONTH_LONG_05,"Mayo"
_MONTH_LONG_06,"Junio"
_MONTH_LONG_07,"Julio"
_MONTH_LONG_08,"Agosto"
_MONTH_LONG_09,"Septiembre"
_MONTH_LONG_10,"Octubre"
_MONTH_LONG_11,"Noviembre"
_MONTH_LONG_12,"Diciembre"
_MONTH_SHORT_01,"Ene"
_MONTH_SHORT_02,"Feb"
_MONTH_SHORT_03,"Mar"
_MONTH_SHORT_04,"Abr"
_MONTH_SHORT_05,"May"
_MONTH_SHORT_06,"Jun"
_MONTH_SHORT_07,"Jul"
_MONTH_SHORT_08,"Ago"
_MONTH_SHORT_09,"Sep"
_MONTH_SHORT_10,"Oct"
_MONTH_SHORT_11,"Nov"
_MONTH_SHORT_12,"Dic"
_WEEKDAY_0,"Domingo"
_WEEKDAY_1,"Lunes"
_WEEKDAY_2,"Martes"
_WEEKDAY_3,"Miércoles"
_WEEKDAY_4,"Jueves"
_WEEKDAY_5,"Viernes"
_WEEKDAY_6,"Sábado"
_WEEKDAY_SHORT_0,"Dom"
_WEEKDAY_SHORT_1,"Lun"
_WEEKDAY_SHORT_2,"Mar"
_WEEKDAY_SHORT_3,"Mié"
_WEEKDAY_SHORT_4,"Jue"
_WEEKDAY_SHORT_5,"Vie"
_WEEKDAY_SHORT_6,"Sáb"
_FILE_SIZE_UNIT_GB,"GB"
_FILE_SIZE_UNIT_MB,"MB"
_FILE_SIZE_UNIT_KB,"KB"
_FILE_SIZE_UNIT_BYTE,"byte"
_FILE_SIZE_UNIT_BYTES,"bytes"
_CANCEL,"Cancelar"
_COPIED,"Copiado"
_COPIED_TO_CLIPBOARD,"Copiado al portapapeles"
_COPY_TO_CLIPBOARD,"Copiar al portapapeles"
_NEXT,"Siguiente"
_PREV,"Anterior"
_FILENAME,"Nombre de archivo:"
_LANGUAGE,"Idioma:"
_PUBLISHED,"Publicado:"
_CHOOSE_YOUR_LANGUAGE,"Elija su idioma:"
_ERROR_SCREEN_NAME_USES_INVALID_CHARACTERS,"El nombre de pantalla solo puede contener letras minúsculas a-z, letras mayúsculas A-Z, números 0-9, guiones, guiones bajos y puntos."
_ERROR_SCREEN_NAME_IN_USE,"Este nombre de pantalla ya está en uso."
_ERROR_SCREEN_NAME_TOO_LONG,"El nombre de pantalla no puede tener más de 50 caracteres."
_ERROR_SALUTATION_TOO_LONG,"El saludo no puede tener más de 25 caracteres."
_ERROR_FIRST_NAME_TOO_LONG,"El nombre no puede tener más de 100 caracteres."
_ERROR_LAST_NAME_TOO_LONG,"El apellido no puede tener más de 100 caracteres."
_ERROR_EMAIL_ADDRESS_INVALID,"La dirección de correo electrónico no es válida."
_ERROR_EMAIL_ADDRESS_IN_USE,"Esta dirección de correo electrónico ya está en uso."
