"Language ID","Module"
et,zenario_common_features

"Phrase Code",Translation
_MONTH_LONG_01,"jaanuar"
_MONTH_LONG_02,"veebruar"
_MONTH_LONG_03,"märts"
_MONTH_LONG_04,"aprill"
_MONTH_LONG_05,"mai"
_MONTH_LONG_06,"juuni"
_MONTH_LONG_07,"juuli"
_MONTH_LONG_08,"august"
_MONTH_LONG_09,"september"
_MONTH_LONG_10,"oktoober"
_MONTH_LONG_11,"november"
_MONTH_LONG_12,"detsember"
_MONTH_SHORT_01,"jaan"
_MONTH_SHORT_02,"veebr"
_MONTH_SHORT_03,"märts"
_MONTH_SHORT_04,"apr"
_MONTH_SHORT_05,"mai"
_MONTH_SHORT_06,"juuni"
_MONTH_SHORT_07,"juuli"
_MONTH_SHORT_08,"aug"
_MONTH_SHORT_09,"sept"
_MONTH_SHORT_10,"okt"
_MONTH_SHORT_11,"nov"
_MONTH_SHORT_12,"dets"
_WEEKDAY_0,"pühapäev"
_WEEKDAY_1,"esmaspäev"
_WEEKDAY_2,"teisipäev"
_WEEKDAY_3,"kolmapäev"
_WEEKDAY_4,"neljapäev"
_WEEKDAY_5,"reede"
_WEEKDAY_6,"laupäev"
_WEEKDAY_SHORT_0,"P"
_WEEKDAY_SHORT_1,"E"
_WEEKDAY_SHORT_2,"T"
_WEEKDAY_SHORT_3,"K"
_WEEKDAY_SHORT_4,"N"
_WEEKDAY_SHORT_5,"R"
_WEEKDAY_SHORT_6,"L"
_FILE_SIZE_UNIT_GB,"GB"
_FILE_SIZE_UNIT_MB,"MB"
_FILE_SIZE_UNIT_KB,"KB"
_FILE_SIZE_UNIT_BYTE,"bait"
_FILE_SIZE_UNIT_BYTES,"baiti"
_CANCEL,"Tühista"
_COPIED,"Kopeeritud"
_COPIED_TO_CLIPBOARD,"Kopeeritud lõikelauale"
_COPY_TO_CLIPBOARD,"Kopeeri lõikelauale"
_NEXT,"Järgmine"
_PREV,"Eelmine"
_FILENAME,"Failinimi:"
_LANGUAGE,"Keel:"
_PUBLISHED,"Avaldatud:"
_CHOOSE_YOUR_LANGUAGE,"Valige oma keel:"
_ERROR_SCREEN_NAME_USES_INVALID_CHARACTERS,"Ekraani nimi võib sisaldada ainult väikeseid tähti a-z, suuri tähti A-Z, numbreid 0-9, sidekriipse, allkriipse ja punkte."
_ERROR_SCREEN_NAME_IN_USE,"See ekraani nimi on juba kasutusel."
_ERROR_SCREEN_NAME_TOO_LONG,"Ekraani nimi ei tohi olla pikem kui 50 märki."
_ERROR_SALUTATION_TOO_LONG,"Pöördumine ei tohi olla pikem kui 25 märki."
_ERROR_FIRST_NAME_TOO_LONG,"Eesnimi ei tohi olla pikem kui 100 märki."
_ERROR_LAST_NAME_TOO_LONG,"Perekonnanimi ei tohi olla pikem kui 100 märki."
_ERROR_EMAIL_ADDRESS_INVALID,"E-posti aadress ei ole kehtiv."
_ERROR_EMAIL_ADDRESS_IN_USE,"See e-posti aadress on juba kasutusel."
