"Language ID","Module"
fi,zenario_common_features

"Phrase Code",Translation
_MONTH_LONG_01,"tammikuu"
_MONTH_LONG_02,"helmikuu"
_MONTH_LONG_03,"maaliskuu"
_MONTH_LONG_04,"huhtikuu"
_MONTH_LONG_05,"toukokuu"
_MONTH_LONG_06,"kesäkuu"
_MONTH_LONG_07,"heinäkuu"
_MONTH_LONG_08,"elokuu"
_MONTH_LONG_09,"syyskuu"
_MONTH_LONG_10,"lokakuu"
_MONTH_LONG_11,"marraskuu"
_MONTH_LONG_12,"joulukuu"
_MONTH_SHORT_01,"tammikuu"
_MONTH_SHORT_02,"helmikuu"
_MONTH_SHORT_03,"maaliskuu"
_MONTH_SHORT_04,"huhtikuu"
_MONTH_SHORT_05,"toukokuu"
_MONTH_SHORT_06,"kesäkuu"
_MONTH_SHORT_07,"heinäkuu"
_MONTH_SHORT_08,"elokuu"
_MONTH_SHORT_09,"syyskuu"
_MONTH_SHORT_10,"lokakuu"
_MONTH_SHORT_11,"marraskuu"
_MONTH_SHORT_12,"joulukuu"
_WEEKDAY_0,"sunnuntai"
_WEEKDAY_1,"maanantai"
_WEEKDAY_2,"tiistai"
_WEEKDAY_3,"keskiviikko"
_WEEKDAY_4,"torstai"
_WEEKDAY_5,"perjantai"
_WEEKDAY_6,"lauantai"
_WEEKDAY_SHORT_0,"su"
_WEEKDAY_SHORT_1,"ma"
_WEEKDAY_SHORT_2,"ti"
_WEEKDAY_SHORT_3,"ke"
_WEEKDAY_SHORT_4,"to"
_WEEKDAY_SHORT_5,"pe"
_WEEKDAY_SHORT_6,"la"
_FILE_SIZE_UNIT_GB,"GB"
_FILE_SIZE_UNIT_MB,"MB"
_FILE_SIZE_UNIT_KB,"KB"
_FILE_SIZE_UNIT_BYTE,"byte"
_FILE_SIZE_UNIT_BYTES,"bytes"
