"Language ID","Module"
fr,zenario_common_features

"Phrase Code",Translation
_MONTH_LONG_01,"janvier"
_MONTH_LONG_02,"février"
_MONTH_LONG_03,"mars"
_MONTH_LONG_04,"avril"
_MONTH_LONG_05,"mai"
_MONTH_LONG_06,"juin"
_MONTH_LONG_07,"juillet"
_MONTH_LONG_08,"août"
_MONTH_LONG_09,"septembre"
_MONTH_LONG_10,"octobre"
_MONTH_LONG_11,"novembre"
_MONTH_LONG_12,"décembre"
_MONTH_SHORT_01,"jan"
_MONTH_SHORT_02,"fev"
_MONTH_SHORT_03,"mars"
_MONTH_SHORT_04,"avr"
_MONTH_SHORT_05,"mai"
_MONTH_SHORT_06,"juin"
_MONTH_SHORT_07,"juil"
_MONTH_SHORT_08,"août"
_MONTH_SHORT_09,"sep"
_MONTH_SHORT_10,"oct"
_MONTH_SHORT_11,"nov"
_MONTH_SHORT_12,"dec"
_WEEKDAY_0,"dimanche"
_WEEKDAY_1,"lundi"
_WEEKDAY_2,"mardi"
_WEEKDAY_3,"mercredi"
_WEEKDAY_4,"jeudi"
_WEEKDAY_5,"vendredi"
_WEEKDAY_6,"samedi"
_WEEKDAY_SHORT_0,"dim"
_WEEKDAY_SHORT_1,"lun"
_WEEKDAY_SHORT_2,"mar"
_WEEKDAY_SHORT_3,"mer"
_WEEKDAY_SHORT_4,"jeu"
_WEEKDAY_SHORT_5,"ven"
_WEEKDAY_SHORT_6,"sam"
_FILE_SIZE_UNIT_GB,"GB"
_FILE_SIZE_UNIT_MB,"MB"
_FILE_SIZE_UNIT_KB,"KB"
_FILE_SIZE_UNIT_BYTE,"byte"
_FILE_SIZE_UNIT_BYTES,"bytes"
_CANCEL,"Annuler"
_COPIED,"Copié"
_COPIED_TO_CLIPBOARD,"Copié dans le presse-papiers"
_COPY_TO_CLIPBOARD,"Copier dans le presse-papiers"
_NEXT,"Suivant"
_PREV,"Précédent"
_FILENAME,"Nom de fichier:"
_LANGUAGE,"Langue:"
_PUBLISHED,"Publié:"
_CHOOSE_YOUR_LANGUAGE,"Choisissez votre langue:"
_ERROR_SCREEN_NAME_USES_INVALID_CHARACTERS,"Le nom d'écran ne peut contenir que des lettres minuscules a-z, des lettres majuscules A-Z, des chiffres 0-9, des tirets, des tirets de soulignement et des points."
_ERROR_SCREEN_NAME_IN_USE,"Ce nom d'écran est déjà utilisé."
_ERROR_SCREEN_NAME_TOO_LONG,"Le nom d'écran ne peut pas dépasser 50 caractères."
_ERROR_SALUTATION_TOO_LONG,"La formule de politesse ne peut pas dépasser 25 caractères."
_ERROR_FIRST_NAME_TOO_LONG,"Le prénom ne peut pas dépasser 100 caractères."
_ERROR_LAST_NAME_TOO_LONG,"Le nom de famille ne peut pas dépasser 100 caractères."
_ERROR_EMAIL_ADDRESS_INVALID,"L'adresse e-mail n'est pas valide."
_ERROR_EMAIL_ADDRESS_IN_USE,"Cette adresse e-mail est déjà utilisée."
