"Language ID","Module"
hi,zenario_common_features

"Phrase Code",Translation
_MONTH_LONG_01,"जनवरी"
_MONTH_LONG_02,"फरवरी"
_MONTH_LONG_03,"मार्च"
_MONTH_LONG_04,"अप्रैल"
_MONTH_LONG_05,"मई"
_MONTH_LONG_06,"जून"
_MONTH_LONG_07,"जुलाई"
_MONTH_LONG_08,"अगस्त"
_MONTH_LONG_09,"सितंबर"
_MONTH_LONG_10,"अक्टूबर"
_MONTH_LONG_11,"नवंबर"
_MONTH_LONG_12,"दिसंबर"
_MONTH_SHORT_01,"जनवरी"
_MONTH_SHORT_02,"फरवरी"
_MONTH_SHORT_03,"मार्च"
_MONTH_SHORT_04,"अप्रैल"
_MONTH_SHORT_05,"मई"
_MONTH_SHORT_06,"जून"
_MONTH_SHORT_07,"जुलाई"
_MONTH_SHORT_08,"अगस्त"
_MONTH_SHORT_09,"सितंबर"
_MONTH_SHORT_10,"अक्टूबर"
_MONTH_SHORT_11,"नवंबर"
_MONTH_SHORT_12,"दिसंबर"
_WEEKDAY_0,"रविवार"
_WEEKDAY_1,"सोमवार"
_WEEKDAY_2,"मंगलवार"
_WEEKDAY_3,"बुधवार"
_WEEKDAY_4,"बृहस्पतिवार"
_WEEKDAY_5,"शुक्रवार"
_WEEKDAY_6,"शनिवार"
_WEEKDAY_SHORT_0,"रवि"
_WEEKDAY_SHORT_1,"सोम"
_WEEKDAY_SHORT_2,"मंगल"
_WEEKDAY_SHORT_3,"बुध"
_WEEKDAY_SHORT_4,"गुरु"
_WEEKDAY_SHORT_5,"शुक्र"
_WEEKDAY_SHORT_6,"शनि"
_FILE_SIZE_UNIT_GB,"GB"
_FILE_SIZE_UNIT_MB,"MB"
_FILE_SIZE_UNIT_KB,"KB"
_FILE_SIZE_UNIT_BYTE,"byte"
_FILE_SIZE_UNIT_BYTES,"bytes"
_CANCEL,"रद्द करें"
_COPIED,"कॉपी किया गया"
_COPIED_TO_CLIPBOARD,"क्लिपबोर्ड में कॉपी किया गया"
_COPY_TO_CLIPBOARD,"क्लिपबोर्ड में कॉपी करें"
_NEXT,"अगला"
_PREV,"पिछला"
_FILENAME,"फाइल नाम:"
_LANGUAGE,"भाषा:"
_PUBLISHED,"प्रकाशित:"
_CHOOSE_YOUR_LANGUAGE,"अपनी भाषा चुनें:"
_ERROR_SCREEN_NAME_USES_INVALID_CHARACTERS,"स्क्रीन नाम में केवल छोटे अक्षर a-z, बड़े अक्षर A-Z, संख्या 0-9, हाइफ़न, अंडरस्कोर और डॉट हो सकते हैं।"
_ERROR_SCREEN_NAME_IN_USE,"यह स्क्रीन नाम पहले से ही उपयोग में है।"
_ERROR_SCREEN_NAME_TOO_LONG,"स्क्रीन नाम 50 अक्षरों से अधिक लंबा नहीं हो सकता।"
_ERROR_SALUTATION_TOO_LONG,"संबोधन 25 अक्षरों से अधिक लंबा नहीं हो सकता।"
_ERROR_FIRST_NAME_TOO_LONG,"पहला नाम 100 अक्षरों से अधिक लंबा नहीं हो सकता।"
_ERROR_LAST_NAME_TOO_LONG,"अंतिम नाम 100 अक्षरों से अधिक लंबा नहीं हो सकता।"
_ERROR_EMAIL_ADDRESS_INVALID,"ईमेल पता मान्य नहीं है।"
_ERROR_EMAIL_ADDRESS_IN_USE,"यह ईमेल पता पहले से ही उपयोग में है।"
