"Language ID","Module"
it,zenario_common_features

"Phrase Code",Translation
_MONTH_LONG_01,"gennaio"
_MONTH_LONG_02,"febbraio"
_MONTH_LONG_03,"marzo"
_MONTH_LONG_04,"aprile"
_MONTH_LONG_05,"maggio"
_MONTH_LONG_06,"giugno"
_MONTH_LONG_07,"luglio"
_MONTH_LONG_08,"agosto"
_MONTH_LONG_09,"settembre"
_MONTH_LONG_10,"ottobre"
_MONTH_LONG_11,"novembre"
_MONTH_LONG_12,"dicembre"
_MONTH_SHORT_01,"gennaio"
_MONTH_SHORT_02,"febbraio"
_MONTH_SHORT_03,"marzo"
_MONTH_SHORT_04,"aprile"
_MONTH_SHORT_05,"maggio"
_MONTH_SHORT_06,"giugno"
_MONTH_SHORT_07,"luglio"
_MONTH_SHORT_08,"agosto"
_MONTH_SHORT_09,"settembre"
_MONTH_SHORT_10,"ottobre"
_MONTH_SHORT_11,"novembre"
_MONTH_SHORT_12,"dicembre"
_WEEKDAY_0,"domenica"
_WEEKDAY_1,"Lunedi"
_WEEKDAY_2,"martedì"
_WEEKDAY_3,"mercoledì"
_WEEKDAY_4,"Giovedi"
_WEEKDAY_5,"venerdì"
_WEEKDAY_6,"sabato"
_WEEKDAY_SHORT_0,"dom"
_WEEKDAY_SHORT_1,"lun"
_WEEKDAY_SHORT_2,"mar"
_WEEKDAY_SHORT_3,"mer"
_WEEKDAY_SHORT_4,"gio"
_WEEKDAY_SHORT_5,"ven"
_WEEKDAY_SHORT_6,"sab"
_FILE_SIZE_UNIT_GB,"GB"
_FILE_SIZE_UNIT_MB,"MB"
_FILE_SIZE_UNIT_KB,"KB"
_FILE_SIZE_UNIT_BYTE,"byte"
_FILE_SIZE_UNIT_BYTES,"bytes"
_CANCEL,"Annulla"
_COPIED,"Copiato"
_COPIED_TO_CLIPBOARD,"Copiato negli appunti"
_COPY_TO_CLIPBOARD,"Copia negli appunti"
_NEXT,"Avanti"
_PREV,"Indietro"
_FILENAME,"Nome file:"
_LANGUAGE,"Lingua:"
_PUBLISHED,"Pubblicato:"
_CHOOSE_YOUR_LANGUAGE,"Scegli la tua lingua:"
_ERROR_SCREEN_NAME_USES_INVALID_CHARACTERS,"Il nome schermo può contenere solo lettere minuscole a-z, lettere maiuscole A-Z, numeri 0-9, trattini, trattini bassi e punti."
_ERROR_SCREEN_NAME_IN_USE,"Questo nome schermo è già in uso."
_ERROR_SCREEN_NAME_TOO_LONG,"Il nome schermo non può essere più lungo di 50 caratteri."
_ERROR_SALUTATION_TOO_LONG,"Il saluto non può essere più lungo di 25 caratteri."
_ERROR_FIRST_NAME_TOO_LONG,"Il nome non può essere più lungo di 100 caratteri."
_ERROR_LAST_NAME_TOO_LONG,"Il cognome non può essere più lungo di 100 caratteri."
_ERROR_EMAIL_ADDRESS_INVALID,"L'indirizzo email non è valido."
_ERROR_EMAIL_ADDRESS_IN_USE,"Questo indirizzo email è già in uso."
