"Language ID","Module"
lv,zenario_common_features

"Phrase Code",Translation
_MONTH_LONG_01,"janvāris"
_MONTH_LONG_02,"februāris"
_MONTH_LONG_03,"marts"
_MONTH_LONG_04,"aprīlis"
_MONTH_LONG_05,"maijs"
_MONTH_LONG_06,"jūnijs"
_MONTH_LONG_07,"jūlijs"
_MONTH_LONG_08,"augusts"
_MONTH_LONG_09,"septembris"
_MONTH_LONG_10,"oktobris"
_MONTH_LONG_11,"novembris"
_MONTH_LONG_12,"decembris"
_MONTH_SHORT_01,"jan"
_MONTH_SHORT_02,"feb"
_MONTH_SHORT_03,"mar"
_MONTH_SHORT_04,"apr"
_MONTH_SHORT_05,"mai"
_MONTH_SHORT_06,"jūn"
_MONTH_SHORT_07,"jūl"
_MONTH_SHORT_08,"aug"
_MONTH_SHORT_09,"sep"
_MONTH_SHORT_10,"okt"
_MONTH_SHORT_11,"nov"
_MONTH_SHORT_12,"dec"
_WEEKDAY_0,"svētdiena"
_WEEKDAY_1,"pirmdiena"
_WEEKDAY_2,"otrdiena"
_WEEKDAY_3,"trešdiena"
_WEEKDAY_4,"ceturtdiena"
_WEEKDAY_5,"piektdiena"
_WEEKDAY_6,"sestdiena"
_WEEKDAY_SHORT_0,"Sv"
_WEEKDAY_SHORT_1,"Pr"
_WEEKDAY_SHORT_2,"Ot"
_WEEKDAY_SHORT_3,"Tr"
_WEEKDAY_SHORT_4,"Ce"
_WEEKDAY_SHORT_5,"Pk"
_WEEKDAY_SHORT_6,"Se"
_FILE_SIZE_UNIT_GB,"GB"
_FILE_SIZE_UNIT_MB,"MB"
_FILE_SIZE_UNIT_KB,"KB"
_FILE_SIZE_UNIT_BYTE,"baits"
_FILE_SIZE_UNIT_BYTES,"baiti"
_CANCEL,"Atcelt"
_COPIED,"Nokopēts"
_COPIED_TO_CLIPBOARD,"Nokopēts starpliktuvē"
_COPY_TO_CLIPBOARD,"Kopēt starpliktuvē"
_NEXT,"Nākamais"
_PREV,"Iepriekšējais"
_FILENAME,"Faila nosaukums:"
_LANGUAGE,"Valoda:"
_PUBLISHED,"Publicēts:"
_CHOOSE_YOUR_LANGUAGE,"Izvēlieties savu valodu:"
_ERROR_SCREEN_NAME_USES_INVALID_CHARACTERS,"Ekrāna nosaukums var saturēt tikai mazos burtus a-z, lielos burtus A-Z, ciparus 0-9, defises, apakšsvītras un punktus."
_ERROR_SCREEN_NAME_IN_USE,"Šis ekrāna nosaukums jau tiek izmantots."
_ERROR_SCREEN_NAME_TOO_LONG,"Ekrāna nosaukums nedrīkst būt garāks par 50 rakstzīmēm."
_ERROR_SALUTATION_TOO_LONG,"Uzruna nedrīkst būt garāka par 25 rakstzīmēm."
_ERROR_FIRST_NAME_TOO_LONG,"Vārds nedrīkst būt garāks par 100 rakstzīmēm."
_ERROR_LAST_NAME_TOO_LONG,"Uzvārds nedrīkst būt garāks par 100 rakstzīmēm."
_ERROR_EMAIL_ADDRESS_INVALID,"E-pasta adrese nav derīga."
_ERROR_EMAIL_ADDRESS_IN_USE,"Šī e-pasta adrese jau tiek izmantota."
