"Language ID","Module"
nl,zenario_common_features

"Phrase Code",Translation
_MONTH_LONG_01,"januari"
_MONTH_LONG_02,"februari"
_MONTH_LONG_03,"maart"
_MONTH_LONG_04,"april"
_MONTH_LONG_05,"kunnen"
_MONTH_LONG_06,"juni"
_MONTH_LONG_07,"juli"
_MONTH_LONG_08,"augustus"
_MONTH_LONG_09,"september"
_MONTH_LONG_10,"oktober"
_MONTH_LONG_11,"november"
_MONTH_LONG_12,"december"
_MONTH_SHORT_01,"januari"
_MONTH_SHORT_02,"februari"
_MONTH_SHORT_03,"maart"
_MONTH_SHORT_04,"april"
_MONTH_SHORT_05,"kunnen"
_MONTH_SHORT_06,"juni"
_MONTH_SHORT_07,"juli"
_MONTH_SHORT_08,"augustus"
_MONTH_SHORT_09,"september"
_MONTH_SHORT_10,"oktober"
_MONTH_SHORT_11,"november"
_MONTH_SHORT_12,"december"
_WEEKDAY_0,"zondag"
_WEEKDAY_1,"maandag"
_WEEKDAY_2,"dinsdag"
_WEEKDAY_3,"woensdag"
_WEEKDAY_4,"donderdag"
_WEEKDAY_5,"vrijdag"
_WEEKDAY_6,"zaterdag"
_WEEKDAY_SHORT_0,"zon"
_WEEKDAY_SHORT_1,"maa"
_WEEKDAY_SHORT_2,"din"
_WEEKDAY_SHORT_3,"woe"
_WEEKDAY_SHORT_4,"don"
_WEEKDAY_SHORT_5,"vri"
_WEEKDAY_SHORT_6,"zat"
_FILE_SIZE_UNIT_GB,"GB"
_FILE_SIZE_UNIT_MB,"MB"
_FILE_SIZE_UNIT_KB,"KB"
_FILE_SIZE_UNIT_BYTE,"byte"
_FILE_SIZE_UNIT_BYTES,"bytes"
_CANCEL,"Annuleren"
_COPIED,"Gekopieerd"
_COPIED_TO_CLIPBOARD,"Naar klembord gekopieerd"
_COPY_TO_CLIPBOARD,"Naar klembord kopiëren"
_NEXT,"Volgende"
_PREV,"Vorige"
_FILENAME,"Bestandsnaam:"
_LANGUAGE,"Taal:"
_PUBLISHED,"Gepubliceerd:"
_CHOOSE_YOUR_LANGUAGE,"Kies uw taal:"
_ERROR_SCREEN_NAME_USES_INVALID_CHARACTERS,"Schermnaam kan alleen kleine letters a-z, hoofdletters A-Z, cijfers 0-9, koppeltekens, onderstrepingstekens en punten bevatten."
_ERROR_SCREEN_NAME_IN_USE,"Deze schermnaam is al in gebruik."
_ERROR_SCREEN_NAME_TOO_LONG,"Schermnaam mag niet langer zijn dan 50 tekens."
_ERROR_SALUTATION_TOO_LONG,"Aanhef mag niet langer zijn dan 25 tekens."
_ERROR_FIRST_NAME_TOO_LONG,"Voornaam mag niet langer zijn dan 100 tekens."
_ERROR_LAST_NAME_TOO_LONG,"Achternaam mag niet langer zijn dan 100 tekens."
_ERROR_EMAIL_ADDRESS_INVALID,"Het e-mailadres is niet geldig."
_ERROR_EMAIL_ADDRESS_IN_USE,"Dit e-mailadres is al in gebruik."
