"Language ID","Module"
pt-br,zenario_common_features

"Phrase Code",Translation
_MONTH_LONG_01,"janeiro"
_MONTH_LONG_02,"fevereiro"
_MONTH_LONG_03,"março"
_MONTH_LONG_04,"abril"
_MONTH_LONG_05,"maio"
_MONTH_LONG_06,"junho"
_MONTH_LONG_07,"julho"
_MONTH_LONG_08,"agosto"
_MONTH_LONG_09,"setembro"
_MONTH_LONG_10,"outubro"
_MONTH_LONG_11,"novembro"
_MONTH_LONG_12,"dezembro"
_MONTH_SHORT_01,"janeiro"
_MONTH_SHORT_02,"fevereiro"
_MONTH_SHORT_03,"março"
_MONTH_SHORT_04,"abril"
_MONTH_SHORT_05,"maio"
_MONTH_SHORT_06,"junho"
_MONTH_SHORT_07,"julho"
_MONTH_SHORT_08,"agosto"
_MONTH_SHORT_09,"setembro"
_MONTH_SHORT_10,"outubro"
_MONTH_SHORT_11,"novembro"
_MONTH_SHORT_12,"dezembro"
_WEEKDAY_0,"domingo"
_WEEKDAY_1,"segunda-feira"
_WEEKDAY_2,"terça-feira"
_WEEKDAY_3,"quarta-feira"
_WEEKDAY_4,"quinta-feira"
_WEEKDAY_5,"sexta-feira"
_WEEKDAY_6,"sábado"
_WEEKDAY_SHORT_0,"dom"
_WEEKDAY_SHORT_1,"seg"
_WEEKDAY_SHORT_2,"ter"
_WEEKDAY_SHORT_3,"qua"
_WEEKDAY_SHORT_4,"qui"
_WEEKDAY_SHORT_5,"sex"
_WEEKDAY_SHORT_6,"sáb"
_FILE_SIZE_UNIT_GB,"GB"
_FILE_SIZE_UNIT_MB,"MB"
_FILE_SIZE_UNIT_KB,"KB"
_FILE_SIZE_UNIT_BYTE,"byte"
_FILE_SIZE_UNIT_BYTES,"bytes"
_CANCEL,"Cancelar"
_COPIED,"Copiado"
_COPIED_TO_CLIPBOARD,"Copiado para a área de transferência"
_COPY_TO_CLIPBOARD,"Copiar para a área de transferência"
_NEXT,"Próximo"
_PREV,"Anterior"
_FILENAME,"Nome do arquivo:"
_LANGUAGE,"Idioma:"
_PUBLISHED,"Publicado:"
_CHOOSE_YOUR_LANGUAGE,"Escolha seu idioma:"
_ERROR_SCREEN_NAME_USES_INVALID_CHARACTERS,"O nome da tela pode conter apenas letras minúsculas a-z, letras maiúsculas A-Z, números 0-9, hífens, sublinhados e pontos."
_ERROR_SCREEN_NAME_IN_USE,"Este nome de tela já está em uso."
_ERROR_SCREEN_NAME_TOO_LONG,"O nome da tela não pode ter mais de 50 caracteres."
_ERROR_SALUTATION_TOO_LONG,"A saudação não pode ter mais de 25 caracteres."
_ERROR_FIRST_NAME_TOO_LONG,"O primeiro nome não pode ter mais de 100 caracteres."
_ERROR_LAST_NAME_TOO_LONG,"O sobrenome não pode ter mais de 100 caracteres."
_ERROR_EMAIL_ADDRESS_INVALID,"O endereço de e-mail não é válido."
_ERROR_EMAIL_ADDRESS_IN_USE,"Este endereço de e-mail já está em uso."
