"Language ID","Module"
pt-eu,zenario_common_features

"Phrase Code",Translation
_MONTH_LONG_01,"janeiro"
_MONTH_LONG_02,"fevereiro"
_MONTH_LONG_03,"março"
_MONTH_LONG_04,"abril"
_MONTH_LONG_05,"maio"
_MONTH_LONG_06,"junho"
_MONTH_LONG_07,"julho"
_MONTH_LONG_08,"agosto"
_MONTH_LONG_09,"setembro"
_MONTH_LONG_10,"outubro"
_MONTH_LONG_11,"novembro"
_MONTH_LONG_12,"dezembro"
_MONTH_SHORT_01,"janeiro"
_MONTH_SHORT_02,"fevereiro"
_MONTH_SHORT_03,"março"
_MONTH_SHORT_04,"abril"
_MONTH_SHORT_05,"maio"
_MONTH_SHORT_06,"junho"
_MONTH_SHORT_07,"julho"
_MONTH_SHORT_08,"agosto"
_MONTH_SHORT_09,"setembro"
_MONTH_SHORT_10,"outubro"
_MONTH_SHORT_11,"novembro"
_MONTH_SHORT_12,"dezembro"
_WEEKDAY_0,"domingo"
_WEEKDAY_1,"segunda-feira"
_WEEKDAY_2,"terça-feira"
_WEEKDAY_3,"quarta-feira"
_WEEKDAY_4,"quinta-feira"
_WEEKDAY_5,"sexta-feira"
_WEEKDAY_6,"sábado"
_WEEKDAY_SHORT_0,"dom"
_WEEKDAY_SHORT_1,"seg"
_WEEKDAY_SHORT_2,"ter"
_WEEKDAY_SHORT_3,"qua"
_WEEKDAY_SHORT_4,"qui"
_WEEKDAY_SHORT_5,"sex"
_WEEKDAY_SHORT_6,"sáb"
_FILE_SIZE_UNIT_GB,"GB"
_FILE_SIZE_UNIT_MB,"MB"
_FILE_SIZE_UNIT_KB,"KB"
_FILE_SIZE_UNIT_BYTE,"byte"
_FILE_SIZE_UNIT_BYTES,"bytes"
