"Language ID","Module"
ro,zenario_common_features

"Phrase Code",Translation
_MONTH_LONG_01,"ianuarie"
_MONTH_LONG_02,"februarie"
_MONTH_LONG_03,"martie"
_MONTH_LONG_04,"aprilie"
_MONTH_LONG_05,"mai"
_MONTH_LONG_06,"iunie"
_MONTH_LONG_07,"iulie"
_MONTH_LONG_08,"august"
_MONTH_LONG_09,"septembrie"
_MONTH_LONG_10,"octombrie"
_MONTH_LONG_11,"noiembrie"
_MONTH_LONG_12,"decembrie"
_MONTH_SHORT_01,"ianuarie"
_MONTH_SHORT_02,"februarie"
_MONTH_SHORT_03,"martie"
_MONTH_SHORT_04,"aprilie"
_MONTH_SHORT_05,"mai"
_MONTH_SHORT_06,"iunie"
_MONTH_SHORT_07,"iulie"
_MONTH_SHORT_08,"august"
_MONTH_SHORT_09,"septembrie"
_MONTH_SHORT_10,"octombrie"
_MONTH_SHORT_11,"noiembrie"
_MONTH_SHORT_12,"decembrie"
_WEEKDAY_0,"duminică"
_WEEKDAY_1,"luni"
_WEEKDAY_2,"marţi"
_WEEKDAY_3,"miercuri"
_WEEKDAY_4,"joi"
_WEEKDAY_5,"vineri"
_WEEKDAY_6,"sâmbătă"
_WEEKDAY_SHORT_0,"dum"
_WEEKDAY_SHORT_1,"lun"
_WEEKDAY_SHORT_2,"mar"
_WEEKDAY_SHORT_3,"mie"
_WEEKDAY_SHORT_4,"joi"
_WEEKDAY_SHORT_5,"vin"
_WEEKDAY_SHORT_6,"sâm"
_FILE_SIZE_UNIT_GB,"GB"
_FILE_SIZE_UNIT_MB,"MB"
_FILE_SIZE_UNIT_KB,"KB"
_FILE_SIZE_UNIT_BYTE,"byte"
_FILE_SIZE_UNIT_BYTES,"bytes"
_CANCEL,"Anulează"
_COPIED,"Copiat"
_COPIED_TO_CLIPBOARD,"Copiat în clipboard"
_COPY_TO_CLIPBOARD,"Copiază în clipboard"
_NEXT,"Următorul"
_PREV,"Anterior"
_FILENAME,"Numele fișierului:"
_LANGUAGE,"Limba:"
_PUBLISHED,"Publicat:"
_CHOOSE_YOUR_LANGUAGE,"Alegeți limba:"
_ERROR_SCREEN_NAME_USES_INVALID_CHARACTERS,"Numele ecranului poate conține doar litere mici a-z, litere mari A-Z, cifre 0-9, liniuțe, sublinieri și puncte."
_ERROR_SCREEN_NAME_IN_USE,"Acest nume de ecran este deja în folosire."
_ERROR_SCREEN_NAME_TOO_LONG,"Numele ecranului nu poate avea mai mult de 50 de caractere."
_ERROR_SALUTATION_TOO_LONG,"Salutul nu poate avea mai mult de 25 de caractere."
_ERROR_FIRST_NAME_TOO_LONG,"Prenumele nu poate avea mai mult de 100 de caractere."
_ERROR_LAST_NAME_TOO_LONG,"Numele de familie nu poate avea mai mult de 100 de caractere."
_ERROR_EMAIL_ADDRESS_INVALID,"Adresa de email nu este validă."
_ERROR_EMAIL_ADDRESS_IN_USE,"Această adresă de email este deja în folosire."
