"Language ID","Module"
sk,zenario_common_features

"Phrase Code",Translation
_MONTH_LONG_01,"január"
_MONTH_LONG_02,"február"
_MONTH_LONG_03,"marec"
_MONTH_LONG_04,"apríl"
_MONTH_LONG_05,"máj"
_MONTH_LONG_06,"jún"
_MONTH_LONG_07,"júl"
_MONTH_LONG_08,"august"
_MONTH_LONG_09,"september"
_MONTH_LONG_10,"október"
_MONTH_LONG_11,"november"
_MONTH_LONG_12,"december"
_MONTH_SHORT_01,"jan"
_MONTH_SHORT_02,"feb"
_MONTH_SHORT_03,"mar"
_MONTH_SHORT_04,"apr"
_MONTH_SHORT_05,"máj"
_MONTH_SHORT_06,"jún"
_MONTH_SHORT_07,"júl"
_MONTH_SHORT_08,"aug"
_MONTH_SHORT_09,"sep"
_MONTH_SHORT_10,"okt"
_MONTH_SHORT_11,"nov"
_MONTH_SHORT_12,"dec"
_WEEKDAY_0,"nedeľa"
_WEEKDAY_1,"pondelok"
_WEEKDAY_2,"utorok"
_WEEKDAY_3,"streda"
_WEEKDAY_4,"štvrtok"
_WEEKDAY_5,"piatok"
_WEEKDAY_6,"sobota"
_WEEKDAY_SHORT_0,"ne"
_WEEKDAY_SHORT_1,"po"
_WEEKDAY_SHORT_2,"ut"
_WEEKDAY_SHORT_3,"st"
_WEEKDAY_SHORT_4,"št"
_WEEKDAY_SHORT_5,"pi"
_WEEKDAY_SHORT_6,"so"
_FILE_SIZE_UNIT_GB,"GB"
_FILE_SIZE_UNIT_MB,"MB"
_FILE_SIZE_UNIT_KB,"KB"
_FILE_SIZE_UNIT_BYTE,"bajt"
_FILE_SIZE_UNIT_BYTES,"bajty"
_CANCEL,"Zrušiť"
_COPIED,"Skopírované"
_COPIED_TO_CLIPBOARD,"Skopírované do schránky"
_COPY_TO_CLIPBOARD,"Kopírovať do schránky"
_NEXT,"Ďalší"
_PREV,"Predchádzajúci"
_FILENAME,"Názov súboru:"
_LANGUAGE,"Jazyk:"
_PUBLISHED,"Publikované:"
_CHOOSE_YOUR_LANGUAGE,"Vyberte svoj jazyk:"
_ERROR_SCREEN_NAME_USES_INVALID_CHARACTERS,"Názov obrazovky môže obsahovať iba malé písmená a-z, veľké písmená A-Z, číslice 0-9, pomlčky, podčiarkovníky a bodky."
_ERROR_SCREEN_NAME_IN_USE,"Tento názov obrazovky sa už používa."
_ERROR_SCREEN_NAME_TOO_LONG,"Názov obrazovky nemôže byť dlhší ako 50 znakov."
_ERROR_SALUTATION_TOO_LONG,"Oslovenie nemôže byť dlhšie ako 25 znakov."
_ERROR_FIRST_NAME_TOO_LONG,"Meno nemôže byť dlhšie ako 100 znakov."
_ERROR_LAST_NAME_TOO_LONG,"Priezvisko nemôže byť dlhšie ako 100 znakov."
_ERROR_EMAIL_ADDRESS_INVALID,"E-mailová adresa nie je platná."
_ERROR_EMAIL_ADDRESS_IN_USE,"Táto e-mailová adresa sa už používa."
