"Language ID","Module"
sl,zenario_common_features

"Phrase Code",Translation
_MONTH_LONG_01,"januar"
_MONTH_LONG_02,"februar"
_MONTH_LONG_03,"marec"
_MONTH_LONG_04,"april"
_MONTH_LONG_05,"maj"
_MONTH_LONG_06,"junij"
_MONTH_LONG_07,"julij"
_MONTH_LONG_08,"avgust"
_MONTH_LONG_09,"september"
_MONTH_LONG_10,"oktober"
_MONTH_LONG_11,"november"
_MONTH_LONG_12,"december"
_MONTH_SHORT_01,"jan"
_MONTH_SHORT_02,"feb"
_MONTH_SHORT_03,"mar"
_MONTH_SHORT_04,"apr"
_MONTH_SHORT_05,"maj"
_MONTH_SHORT_06,"jun"
_MONTH_SHORT_07,"jul"
_MONTH_SHORT_08,"avg"
_MONTH_SHORT_09,"sep"
_MONTH_SHORT_10,"okt"
_MONTH_SHORT_11,"nov"
_MONTH_SHORT_12,"dec"
_WEEKDAY_0,"nedelja"
_WEEKDAY_1,"ponedeljek"
_WEEKDAY_2,"torek"
_WEEKDAY_3,"sreda"
_WEEKDAY_4,"četrtek"
_WEEKDAY_5,"petek"
_WEEKDAY_6,"sobota"
_WEEKDAY_SHORT_0,"ned"
_WEEKDAY_SHORT_1,"pon"
_WEEKDAY_SHORT_2,"tor"
_WEEKDAY_SHORT_3,"sre"
_WEEKDAY_SHORT_4,"čet"
_WEEKDAY_SHORT_5,"pet"
_WEEKDAY_SHORT_6,"sob"
_FILE_SIZE_UNIT_GB,"GB"
_FILE_SIZE_UNIT_MB,"MB"
_FILE_SIZE_UNIT_KB,"KB"
_FILE_SIZE_UNIT_BYTE,"bajt"
_FILE_SIZE_UNIT_BYTES,"bajti"
_CANCEL,"Prekliči"
_COPIED,"Kopirano"
_COPIED_TO_CLIPBOARD,"Kopirano v odložišče"
_COPY_TO_CLIPBOARD,"Kopiraj v odložišče"
_NEXT,"Naslednji"
_PREV,"Prejšnji"
_FILENAME,"Ime datoteke:"
_LANGUAGE,"Jezik:"
_PUBLISHED,"Objavljeno:"
_CHOOSE_YOUR_LANGUAGE,"Izberite svoj jezik:"
_ERROR_SCREEN_NAME_USES_INVALID_CHARACTERS,"Ime zaslona lahko vsebuje samo male črke a-z, velike črke A-Z, števke 0-9, vezaje, podčrtaje in pike."
_ERROR_SCREEN_NAME_IN_USE,"To ime zaslona se že uporablja."
_ERROR_SCREEN_NAME_TOO_LONG,"Ime zaslona ne more biti daljše od 50 znakov."
_ERROR_SALUTATION_TOO_LONG,"Nagovor ne more biti daljši od 25 znakov."
_ERROR_FIRST_NAME_TOO_LONG,"Ime ne more biti daljše od 100 znakov."
_ERROR_LAST_NAME_TOO_LONG,"Priimek ne more biti daljši od 100 znakov."
_ERROR_EMAIL_ADDRESS_INVALID,"E-poštni naslov ni veljaven."
_ERROR_EMAIL_ADDRESS_IN_USE,"Ta e-poštni naslov se že uporablja."
